timestamp,date,activity
2003-08-19 12:00:00,2003-08-19,0
2003-08-19 12:01:00,2003-08-19,0
2003-08-19 12:02:00,2003-08-19,0
2003-08-19 12:03:00,2003-08-19,0
2003-08-19 12:04:00,2003-08-19,0
2003-08-19 12:05:00,2003-08-19,0
2003-08-19 12:06:00,2003-08-19,0
2003-08-19 12:07:00,2003-08-19,0
2003-08-19 12:08:00,2003-08-19,0
2003-08-19 12:09:00,2003-08-19,0
2003-08-19 12:10:00,2003-08-19,0
2003-08-19 12:11:00,2003-08-19,0
2003-08-19 12:12:00,2003-08-19,0
2003-08-19 12:13:00,2003-08-19,0
2003-08-19 12:14:00,2003-08-19,0
2003-08-19 12:15:00,2003-08-19,0
2003-08-19 12:16:00,2003-08-19,0
2003-08-19 12:17:00,2003-08-19,0
2003-08-19 12:18:00,2003-08-19,0
2003-08-19 12:19:00,2003-08-19,0
2003-08-19 12:20:00,2003-08-19,0
2003-08-19 12:21:00,2003-08-19,0
2003-08-19 12:22:00,2003-08-19,0
2003-08-19 12:23:00,2003-08-19,0
2003-08-19 12:24:00,2003-08-19,0
2003-08-19 12:25:00,2003-08-19,0
2003-08-19 12:26:00,2003-08-19,0
2003-08-19 12:27:00,2003-08-19,0
2003-08-19 12:28:00,2003-08-19,0
2003-08-19 12:29:00,2003-08-19,0
2003-08-19 12:30:00,2003-08-19,0
2003-08-19 12:31:00,2003-08-19,0
2003-08-19 12:32:00,2003-08-19,0
2003-08-19 12:33:00,2003-08-19,0
2003-08-19 12:34:00,2003-08-19,0
2003-08-19 12:35:00,2003-08-19,0
2003-08-19 12:36:00,2003-08-19,0
2003-08-19 12:37:00,2003-08-19,0
2003-08-19 12:38:00,2003-08-19,0
2003-08-19 12:39:00,2003-08-19,0
2003-08-19 12:40:00,2003-08-19,0
2003-08-19 12:41:00,2003-08-19,0
2003-08-19 12:42:00,2003-08-19,0
2003-08-19 12:43:00,2003-08-19,0
2003-08-19 12:44:00,2003-08-19,0
2003-08-19 12:45:00,2003-08-19,0
2003-08-19 12:46:00,2003-08-19,0
2003-08-19 12:47:00,2003-08-19,0
2003-08-19 12:48:00,2003-08-19,0
2003-08-19 12:49:00,2003-08-19,0
2003-08-19 12:50:00,2003-08-19,0
2003-08-19 12:51:00,2003-08-19,0
2003-08-19 12:52:00,2003-08-19,0
2003-08-19 12:53:00,2003-08-19,0
2003-08-19 12:54:00,2003-08-19,0
2003-08-19 12:55:00,2003-08-19,0
2003-08-19 12:56:00,2003-08-19,0
2003-08-19 12:57:00,2003-08-19,0
2003-08-19 12:58:00,2003-08-19,0
2003-08-19 12:59:00,2003-08-19,0
2003-08-19 13:00:00,2003-08-19,0
2003-08-19 13:01:00,2003-08-19,0
2003-08-19 13:02:00,2003-08-19,0
2003-08-19 13:03:00,2003-08-19,0
2003-08-19 13:04:00,2003-08-19,0
2003-08-19 13:05:00,2003-08-19,0
2003-08-19 13:06:00,2003-08-19,0
2003-08-19 13:07:00,2003-08-19,0
2003-08-19 13:08:00,2003-08-19,0
2003-08-19 13:09:00,2003-08-19,0
2003-08-19 13:10:00,2003-08-19,0
2003-08-19 13:11:00,2003-08-19,0
2003-08-19 13:12:00,2003-08-19,0
2003-08-19 13:13:00,2003-08-19,0
2003-08-19 13:14:00,2003-08-19,0
2003-08-19 13:15:00,2003-08-19,0
2003-08-19 13:16:00,2003-08-19,0
2003-08-19 13:17:00,2003-08-19,0
2003-08-19 13:18:00,2003-08-19,0
2003-08-19 13:19:00,2003-08-19,0
2003-08-19 13:20:00,2003-08-19,0
2003-08-19 13:21:00,2003-08-19,0
2003-08-19 13:22:00,2003-08-19,0
2003-08-19 13:23:00,2003-08-19,0
2003-08-19 13:24:00,2003-08-19,0
2003-08-19 13:25:00,2003-08-19,0
2003-08-19 13:26:00,2003-08-19,0
2003-08-19 13:27:00,2003-08-19,0
2003-08-19 13:28:00,2003-08-19,0
2003-08-19 13:29:00,2003-08-19,0
2003-08-19 13:30:00,2003-08-19,0
2003-08-19 13:31:00,2003-08-19,0
2003-08-19 13:32:00,2003-08-19,0
2003-08-19 13:33:00,2003-08-19,0
2003-08-19 13:34:00,2003-08-19,0
2003-08-19 13:35:00,2003-08-19,0
2003-08-19 13:36:00,2003-08-19,0
2003-08-19 13:37:00,2003-08-19,0
2003-08-19 13:38:00,2003-08-19,0
2003-08-19 13:39:00,2003-08-19,0
2003-08-19 13:40:00,2003-08-19,0
2003-08-19 13:41:00,2003-08-19,782
2003-08-19 13:42:00,2003-08-19,1386
2003-08-19 13:43:00,2003-08-19,131
2003-08-19 13:44:00,2003-08-19,0
2003-08-19 13:45:00,2003-08-19,209
2003-08-19 13:46:00,2003-08-19,294
2003-08-19 13:47:00,2003-08-19,232
2003-08-19 13:48:00,2003-08-19,189
2003-08-19 13:49:00,2003-08-19,12
2003-08-19 13:50:00,2003-08-19,86
2003-08-19 13:51:00,2003-08-19,195
2003-08-19 13:52:00,2003-08-19,62
2003-08-19 13:53:00,2003-08-19,50
2003-08-19 13:54:00,2003-08-19,97
2003-08-19 13:55:00,2003-08-19,66
2003-08-19 13:56:00,2003-08-19,240
2003-08-19 13:57:00,2003-08-19,202
2003-08-19 13:58:00,2003-08-19,396
2003-08-19 13:59:00,2003-08-19,733
2003-08-19 14:00:00,2003-08-19,645
2003-08-19 14:01:00,2003-08-19,645
2003-08-19 14:02:00,2003-08-19,1522
2003-08-19 14:03:00,2003-08-19,1010
2003-08-19 14:04:00,2003-08-19,567
2003-08-19 14:05:00,2003-08-19,733
2003-08-19 14:06:00,2003-08-19,550
2003-08-19 14:07:00,2003-08-19,808
2003-08-19 14:08:00,2003-08-19,1839
2003-08-19 14:09:00,2003-08-19,688
2003-08-19 14:10:00,2003-08-19,451
2003-08-19 14:11:00,2003-08-19,348
2003-08-19 14:12:00,2003-08-19,1261
2003-08-19 14:13:00,2003-08-19,834
2003-08-19 14:14:00,2003-08-19,889
2003-08-19 14:15:00,2003-08-19,1301
2003-08-19 14:16:00,2003-08-19,515
2003-08-19 14:17:00,2003-08-19,948
2003-08-19 14:18:00,2003-08-19,515
2003-08-19 14:19:00,2003-08-19,325
2003-08-19 14:20:00,2003-08-19,410
2003-08-19 14:21:00,2003-08-19,348
2003-08-19 14:22:00,2003-08-19,216
2003-08-19 14:23:00,2003-08-19,189
2003-08-19 14:24:00,2003-08-19,131
2003-08-19 14:25:00,2003-08-19,163
2003-08-19 14:26:00,2003-08-19,168
2003-08-19 14:27:00,2003-08-19,304
2003-08-19 14:28:00,2003-08-19,137
2003-08-19 14:29:00,2003-08-19,131
2003-08-19 14:30:00,2003-08-19,182
2003-08-19 14:31:00,2003-08-19,209
2003-08-19 14:32:00,2003-08-19,666
2003-08-19 14:33:00,2003-08-19,1183
2003-08-19 14:34:00,2003-08-19,451
2003-08-19 14:35:00,2003-08-19,189
2003-08-19 14:36:00,2003-08-19,163
2003-08-19 14:37:00,2003-08-19,54
2003-08-19 14:38:00,2003-08-19,195
2003-08-19 14:39:00,2003-08-19,336
2003-08-19 14:40:00,2003-08-19,97
2003-08-19 14:41:00,2003-08-19,336
2003-08-19 14:42:00,2003-08-19,232
2003-08-19 14:43:00,2003-08-19,107
2003-08-19 14:44:00,2003-08-19,240
2003-08-19 14:45:00,2003-08-19,73
2003-08-19 14:46:00,2003-08-19,483
2003-08-19 14:47:00,2003-08-19,69
2003-08-19 14:48:00,2003-08-19,14
2003-08-19 14:49:00,2003-08-19,315
2003-08-19 14:50:00,2003-08-19,624
2003-08-19 14:51:00,2003-08-19,533
2003-08-19 14:52:00,2003-08-19,336
2003-08-19 14:53:00,2003-08-19,325
2003-08-19 14:54:00,2003-08-19,438
2003-08-19 14:55:00,2003-08-19,168
2003-08-19 14:56:00,2003-08-19,645
2003-08-19 14:57:00,2003-08-19,360
2003-08-19 14:58:00,2003-08-19,66
2003-08-19 14:59:00,2003-08-19,209
2003-08-19 15:00:00,2003-08-19,1342
2003-08-19 15:01:00,2003-08-19,688
2003-08-19 15:02:00,2003-08-19,1183
2003-08-19 15:03:00,2003-08-19,1386
2003-08-19 15:04:00,2003-08-19,1076
2003-08-19 15:05:00,2003-08-19,1430
2003-08-19 15:06:00,2003-08-19,918
2003-08-19 15:07:00,2003-08-19,605
2003-08-19 15:08:00,2003-08-19,325
2003-08-19 15:09:00,2003-08-19,979
2003-08-19 15:10:00,2003-08-19,483
2003-08-19 15:11:00,2003-08-19,758
2003-08-19 15:12:00,2003-08-19,1076
2003-08-19 15:13:00,2003-08-19,758
2003-08-19 15:14:00,2003-08-19,384
2003-08-19 15:15:00,2003-08-19,360
2003-08-19 15:16:00,2003-08-19,586
2003-08-19 15:17:00,2003-08-19,348
2003-08-19 15:18:00,2003-08-19,360
2003-08-19 15:19:00,2003-08-19,451
